country	group	sector	subsector	id	company_name	company_city	company_headcount	supplier_of	site_status	verified_by_europages	year_established	main_activity	information	websites	address	postcode	keywords	products	products_language	chunk	lat	long
germany	agriculture_livestock	agriculture_import_export	NA	EUROPEPTA-GMBH_00000004801555-001	EUROPEPTA GMBH	Hannover		import-export - food and agriculture		FALSE	1987	Manufacturer/ Producer	The company EUROPEPTA GMBH, is a Manufacturer/ Producer, founded in 1987, which operates in the Import-export - food and agriculture industry. It is based in Hannover, Germany.	http://www.europepta.de	Am Uhrturm 16 	30519	Import-export - food and agriculture	NA	NA	13	52.33844672842099	9.779054788104087
germany	agriculture_livestock	agriculture_import_export	NA	OPTIFERM-KEMPTEN-GMBH_DEU440649-00101	OPTIFERM KEMPTEN GMBH	Kempten	1 - 10	import-export - food and agriculture	Registered office	FALSE			The company OPTIFERM KEMPTEN GMBH, which operates in the Import-export - food and agriculture industry. It is based in Kempten, Germany.	http://www.optiferm.de	Heisinger Str. 12 	87437	Import-export - food and agriculture	NA	NA	13	47.733116	10.340036798021984
germany	agriculture_livestock	agriculture_import_export	NA	HANS-HOFFELE-INDUSTRIEWATTE-GMBH_00000005105183-001	HANS HÖFFELE INDUSTRIEWATTE GMBH	Linkenheim-Hochstetten		import-export - food and agriculture		FALSE		Manufacturer/ Producer	The company HANS HÖFFELE INDUSTRIEWATTE GMBH, is a Manufacturer/ Producer, which operates in the Import-export - food and agriculture industry. It is based in Linkenheim-Hochstetten, Germany.	http://www.hoeffele.de	Gewerbering 5 	76351	Import-export - food and agriculture	NA	NA	13	49.12823491655969	8.413150305260766
germany	agriculture_livestock	agriculture_import_export	NA	FAMILIENBRAUEREI-BAUHOFER-GMBH-CO-KG_DEU448035-00101	FAMILIENBRAUEREI BAUHÖFER GMBH CO. KG.	Renchen	11 - 50	import-export - food and agriculture	Registered office	FALSE			The company FAMILIENBRAUEREI BAUHÖFER GMBH CO. KG., which operates in the Import-export - food and agriculture industry. It is based in Renchen, Germany.	http://www.bauhoefer.de	Ullenburgstr. 12 	77871	Import-export - food and agriculture	NA	NA	13	48.583947061655174	8.020557819351549
germany	agriculture_livestock	agriculture_import_export	NA	PENPET-PETROCHEMICAL-TRADING-GMBH_00000004804773-001	PENPET PETROCHEMICAL TRADING GMBH	Hamburg		import-export - food and agriculture		FALSE	1991	Wholesaler	The company PENPET PETROCHEMICAL TRADING GMBH, is a Wholesaler, founded in 1991, which operates in the Import-export - food and agriculture industry. It is based in Hamburg, Germany.	http://www.penpet.de	Merkurring 105 	22143	Import-export - food and agriculture	NA	NA	13	53.60655575259208	10.163730214215859
germany	agriculture_livestock	agriculture_import_export	NA	SUNDAVITAL-OHG-L-KARL-H-SCHNITTER_DEU317024-00101	SUNDAVITAL OHG L. & KARL H. SCHNITTER	Wolfach	1 - 10	import-export - food and agriculture		FALSE	2000	Wholesaler	The company SUNDAVITAL OHG L. & KARL H. SCHNITTER, is a Wholesaler, founded in 2000, which operates in the Import-export - food and agriculture industry. It is based in Wolfach, Germany.	http://www.sundavital.de	Hauptstr. 5 	77709	Import-export - food and agriculture	NA	NA	13	48.30466780587228	8.228732427651277
germany	agriculture_livestock	agriculture_import_export	NA	BAERLOCHER-GMBH_00000004772143-001	BAERLOCHER GMBH	Unterschleißheim		import-export - food and agriculture		FALSE	1822	Manufacturer/ Producer	The company BAERLOCHER GMBH, is a Manufacturer/ Producer, founded in 1822, which operates in the Import-export - food and agriculture industry. It is based in Unterschleißheim, Germany.	http://www.baerlocher.com	Freisinger Strasse 1 	85716	Import-export - food and agriculture	NA	NA	13	48.2770031	11.553545924318929
germany	agriculture_livestock	agriculture_import_export	NA	URSULA-UTTING-METZGER-GMBH_DEU433109-00101	URSULA UTTING - METZGER GMBH	Neustadt		import-export - food and agriculture	Registered office	FALSE			The company URSULA UTTING - METZGER GMBH, which operates in the Import-export - food and agriculture industry. It is based in Neustadt, Germany.	http://www.utting-metzger.com/	Weinstr. 148 	67434	Import-export - food and agriculture	NA	NA	13	49.33111898958554	8.135915452361976
germany	agriculture_livestock	agriculture_import_export	NA	IBERIANA-FRUCHT-GMBH_DEU417099-00101	IBERIANA FRUCHT GMBH	Offenburg	1 - 10	import-export - food and agriculture	Registered office	FALSE			The company IBERIANA FRUCHT GMBH, which operates in the Import-export - food and agriculture industry. It is based in Offenburg, Germany.	http://www.iberiana.es	Hanns-Martin-Schleyer-Str. 2 	77656	Import-export - food and agriculture	NA	NA	13	48.45504939556088	7.932703218398764
germany	agriculture_livestock	agriculture_import_export	NA	CREMER-OLEO-GMBH-CO-KG_00000004951400-001	CREMER OLEO GMBH & CO. KG	Hamburg		import-export - food and agriculture		FALSE		Manufacturer/ Producer	The company CREMER OLEO GMBH & CO. KG, is a Manufacturer/ Producer, which operates in the Import-export - food and agriculture industry. It is based in Hamburg, Germany.	http://www.cremeroleo.de	Glockengießerwall 3 	20095	Import-export - food and agriculture	NA	NA	13	53.550947634334754	9.99964573716873
germany	agriculture_livestock	agriculture_import_export	NA	LEVACO-CHEMICALS-GMBH_00000005038677-001	LEVACO CHEMICALS GMBH	Leverkusen		import-export - food and agriculture		FALSE	2013	Manufacturer/ Producer	The company LEVACO CHEMICALS GMBH, is a Manufacturer/ Producer, founded in 2013, which operates in the Import-export - food and agriculture industry. It is based in Leverkusen, Germany.	http://www.levaco.com	Kaiser-Wilhelm-Allee 	51368	Import-export - food and agriculture	NA	NA	13	NA	NA
germany	agriculture_livestock	agriculture_import_export	NA	GETRANKE-PFEIFER-GMBH-CO-KG_DEU457502-00101	GETRÄNKE PFEIFER GMBH & CO. KG	Grüna		import-export - food and agriculture	Registered office	FALSE			The company GETRÄNKE PFEIFER GMBH & CO. KG, which operates in the Import-export - food and agriculture industry. It is based in Grüna, Germany.	http://www.getraenke-pfeifer.de	An Der Wiesenmühle 8 	09224	Import-export - food and agriculture	NA	NA	13	50.81705705	12.780292375590058
germany	agriculture_livestock	agriculture_import_export	NA	VESTEY-FOODS-GERMANY-GMBH-VORMALS-RARI-FOOD-INTERNATIONAL-GMBH_DEU380163-00101	VESTEY FOODS GERMANY GMBH (VORMALS: RARI FOOD INTERNATIONAL GMBH)	Hamburg	11 - 50	food - import-export | import-export - food and agriculture		FALSE	2002	Wholesaler	The company VESTEY FOODS GERMANY GMBH (VORMALS: RARI FOOD INTERNATIONAL GMBH), is a Wholesaler, founded in 2002, which operates in the Import-export - food and agriculture industry. It also operates in the Food - import-export industries. It is based in Hamburg, Germany.	https://rari.de/	Hovestr. 72 	20539	Import-export - food and agriculture, Food - import-export	NA	NA	13	53.53076886901588	10.036098519499468
germany	agriculture_livestock	agriculture_import_export	NA	HARALD-L-BREMER-GMBH_DEU380085-00101	HARALD L. BREMER GMBH	Braunschweig	1 - 10	import-export - food and agriculture | wines - italy		FALSE	1977	Wholesaler	The company HARALD L. BREMER GMBH, is a Wholesaler, founded in 1977, which operates in the Wines - Italy industry. It also operates in the Import-export - food and agriculture industries. It is based in Braunschweig, Germany.	http://www.bremerwein.de	Efeuweg 3 	38104	Wines - Italy, Import-export - food and agriculture	NA	NA	13	52.27957865579685	10.577942801456638
germany	agriculture_livestock	agriculture_import_export	NA	GEFLUGELZUCHT-HORST-HERMANN-HADE-INHABER-HANS-JOACHIM-HADE-EK_DEU298839-00101	GEFLÜGELZUCHT HORST HERMANN HÄDE INHABER HANS JOACHIM HÄDE E.K.	Alheim	1 - 10	food - import-export | import-export - food and agriculture		FALSE	2002	Wholesaler	The company GEFLÜGELZUCHT HORST HERMANN HÄDE INHABER HANS JOACHIM HÄDE E.K., is a Wholesaler, founded in 2002, which operates in the Import-export - food and agriculture industry. It also operates in the Food - import-export industries. It is based in Alheim, Germany.	https://loewen-ei.de/	Nürnberger Str. 52 	36211	Import-export - food and agriculture, Food - import-export	NA	NA	13	51.0306718	9.667956401179744
