country	group	sector	subsector	id	company_name	company_city	company_headcount	supplier_of	site_status	verified_by_europages	year_established	main_activity	information	websites	address	postcode	keywords	products	products_language	chunk	lat	long
spain	agriculture_livestock	animals_livestock	NA	DOG-TAXI_00000005389592-708885001	DOG TAXI	Zaragoza	1 - 10	dogs and cats - articles for		FALSE		Service Provider	The company DOG TAXI, is a Service Provider, which operates in the Dogs and cats - articles for industry. It is based in Zaragoza, Spain.	https://dogtaxi.es/	Calle Valero Julián Ripol Urbano 	50018	Dogs and cats - articles for	NA	NA	22	41.673902936607035	-0.8879849377842867
spain	agriculture_livestock	animals_livestock	NA	CEREALES-UTRERA-SL_00000005393846-716245001	CEREALES UTRERA, S.L.	Utrera	1 - 10	fodder and straw | agriculture - import-export | straw		FALSE		Wholesaler	The company CEREALES UTRERA, S.L., is a Wholesaler, which operates in the Agriculture - import-export industry. It also operates in the Fodder and straw, and Straw industries. It is based in Utrera, Spain.	http://cerealesutrera.com/	Ctra. Nacional A-394, 	41710	Agriculture - import-export, Fodder and straw, Straw	NA	NA	22	37.1870830875	-5.7850412563072835
spain	agriculture_livestock	animals_livestock	NA	TECNOVIT_ESP195722-5909001	TECNOVIT	Tarragona	51 - 100	premix for livestock and poultry | vitamins	Registered office – Parent company - Subsidiary	FALSE	1992	Manufacturer/ Producer	The company TECNOVIT, is a Manufacturer/ Producer, founded in 1992, which operates in the Premix for livestock and poultry industry. It also operates in the vitamins industries. It is based in Tarragona, Spain.	http://www.tecnovit.net	Poligono Industrial les Sorts, Alforja/Tarragona 	43365	Premix for livestock and poultry, vitamins	NA	NA	22	41.225369112500005	0.9605778140097894
spain	agriculture_livestock	animals_livestock	NA	ALEJANDRO-MONTES-MUNOZ_00000004545815-340940001	ALEJANDRO MONTES MUÑOZ	Villodrigo-Palencia	1 - 10	fodder and straw		FALSE		Manufacturer/ Producer	The company ALEJANDRO MONTES MUÑOZ, is a Manufacturer/ Producer, which operates in the Fodder and straw industry. It is based in Villodrigo-Palencia, Spain.	http://www.pajamontes.com	PLAZA DE LA IGLESIA Nº1 	34257	Fodder and straw	NA	NA	22	42.08301144285714	-4.118652319057303
spain	agriculture_livestock	animals_livestock	NA	FRESCOS-DE-ISLA-CRISTINA-SL_00000004455049-305811001	FRESCOS DE ISLA CRISTINA S.L.	Isla Cristina ( Huelva )	1 - 10	fish, salt-water	Registered office	FALSE	2012	Wholesaler	The company FRESCOS DE ISLA CRISTINA S.L., is a Wholesaler, founded in 2012, which operates in the Fish, salt-water industry. It is based in Isla Cristina ( Huelva ), Spain.	http://frescosdeislacristina.es	C/ DIEGO PEREZ PACUAL Nº 37 	21410	Fish, salt-water	PULPOS COCIDOS PASTEURIZADO	spain	22	37.200387247826086	-7.313953603690683
spain	agriculture_livestock	animals_livestock	NA	CLINICA-VETERINARIA-MARIA-J-CABEZA_00000004702912-646093001	CLINICA VETERINARIA MARIA J. CABEZA	León	1 - 10	veterinary services		FALSE		Service Provider	The company CLINICA VETERINARIA MARIA J. CABEZA, is a Service Provider, which operates in the Veterinary services industry. It is based in León, Spain.	https://mariacabeza.com	Calle Padre Javier de Valladolid, 7, 24005 León 	24005	Veterinary services	NA	NA	22	42.58367187361112	-5.559409710302504
spain	agriculture_livestock	animals_livestock	NA	DR-PET_00000003568265-000013550001	DR PET	MALAGA		cat food | dog food | pet foods | dog food | dog biscuits	Registered office	FALSE	2000	Wholesaler	The company DR PET, is a Wholesaler, founded in 2000, which operates in the Dog food industry. It also operates in the Cat food, Pet foods, and dog biscuits industries. It is based in MALAGA, Spain.	http://www.drpet.es/	Avda Juan Lopez Peñalver 17, 1 planta, 	29590	Dog food, Cat food, Pet foods, dog food, dog biscuits	NA	NA	22	36.72420307538941	-4.542191372410049
spain	agriculture_livestock	animals_livestock	NA	DOGGYDOLLY_00000004597979-414345001	DOGGYDOLLY	Terrassa	1 - 10	dogs and cats - articles for | clothing for dogs		FALSE		Distributor	The company DOGGYDOLLY, is a Distributor, which operates in the Dogs and cats - articles for industry. It also operates in the clothing for dogs industries. It is based in Terrassa, Spain.	http://www.doggydolly.es	Ctra Martorell 133 	08224	Dogs and cats - articles for, clothing for dogs	NA	NA	22	41.56091429	2.0030181719431503
spain	agriculture_livestock	animals_livestock	NA	PESCADERIA-ONLINE-COSTALUZ-SL_00000004760896-540327001	PESCADERIA ONLINE COSTALUZ S.L	Huelva	1 - 10	fish, salt-water		FALSE		Wholesaler	The company PESCADERIA ONLINE COSTALUZ S.L, is a Wholesaler, which operates in the Fish, salt-water industry. It is based in Huelva, Spain.	http://pescaderiaonlinecostaluz.es	C/carreras 7 bajo 	21410	Fish, salt-water	NA	NA	22	37.200387247826086	-7.313953603690683
spain	agriculture_livestock	animals_livestock	NA	NOBLECAN-ADIESTRAMIENTO-CANINO_00000005297303-606697001	NOBLECAN ADIESTRAMIENTO CANINO	Madrid	1 - 10	dogs and cats - articles for		FALSE	2007	Service Provider	The company NOBLECAN ADIESTRAMIENTO CANINO, is a Service Provider, founded in 2007, which operates in the Dogs and cats - articles for industry. It is based in Madrid, Spain.	https://www.noblecan.com/	Calle La Serna del Monte 5 	28035	Dogs and cats - articles for	Educación de cachorros | Adiestramiento de obediencia a domicilio | Solución de problemas de comportamiento | Dog friendly Madrid | FotoMascotas | Otros servicios caninos	spain	22	40.474194785007654	-3.7215044318612915
