country	group	sector	subsector	id	company_name	company_city	company_headcount	supplier_of	site_status	verified_by_europages	year_established	main_activity	information	websites	address	postcode	keywords	products	products_language	chunk	lat	long
germany	agriculture_livestock	agriculture_import_export	NA	CARGILL-GMBH_00000004919136-001	CARGILL GMBH	Mainz		agriculture - import-export | cereals and grains | vegetables, edible roots and tubers | cattle | dietary and organic foods		FALSE		Manufacturer/ Producer	The company CARGILL GMBH, is a Manufacturer/ Producer, which operates in the Cereals and grains industry. It also operates in the Vegetables, edible roots and tubers, Cattle, Agriculture - import-export, and Dietary and organic foods industries. It is based in Mainz, Germany.	http://www.cargill.de	Rheinallee 124 	55120	Cereals and grains, Vegetables, edible roots and tubers, Cattle, Agriculture - import-export, Dietary and organic foods	NA	NA	14	50.01917845455787	8.224521473622492
germany	agriculture_livestock	agriculture_import_export	NA	AGROGERMAN_00000005255181-570383001	AGROGERMAN	Lindau	51 - 100	agriculture - import-export | tractor | tanker trucks		FALSE		Retailer	The company AGROGERMAN, is a Retailer, which operates in the Agriculture - import-export industry. It also operates in the tractor, and tanker trucks industries. It is based in Lindau, Germany.		Deetzer Str. 58 	39264	Agriculture - import-export, tractor, tanker trucks	NA	NA	14	51.99932707084388	12.118252499991462
germany	agriculture_livestock	agriculture_import_export	NA	FEILMEIER-LAGERHAUS-GMBH-CO-KG_00000005038317-001	FEILMEIER LAGERHAUS GMBH & CO. KG	Hofkirchen		agriculture - import-export | cereals and grains | vegetables, edible roots and tubers | cattle | pigs		FALSE		Manufacturer/ Producer	The company FEILMEIER LAGERHAUS GMBH & CO. KG, is a Manufacturer/ Producer, which operates in the Cereals and grains industry. It also operates in the Vegetables, edible roots and tubers, Cattle, Pigs, and Agriculture - import-export industries. It is based in Hofkirchen, Germany.	http://www.feilmeier-mischfutter.de	Edlham 19 	94544	Cereals and grains, Vegetables, edible roots and tubers, Cattle, Pigs, Agriculture - import-export	NA	NA	14	48.678596049999996	13.168559475044262
germany	agriculture_livestock	agriculture_import_export	NA	GEBR-SCHMIDT-IGRO-C-C-GROßMARKT-INH-BERNHARD-SCHMIDT_DEU084555-00101	GEBR. SCHMIDT, IGRO C + C GROßMARKT INH. BERNHARD SCHMIDT	Norden	11 - 50	food - import-export | import-export - food and agriculture	Registered office	FALSE	1919	Wholesaler	The company GEBR. SCHMIDT, IGRO C + C GROßMARKT INH. BERNHARD SCHMIDT, is a Wholesaler, founded in 1919, which operates in the Import-export - food and agriculture industry. It also operates in the Food - import-export industries. It is based in Norden, Germany.	www.igro-schmidt.de	Stellmacherstr. 19 	26506	Import-export - food and agriculture, Food - import-export	NA	NA	14	53.594530717626554	7.194496340688063
germany	agriculture_livestock	agriculture_import_export	NA	SHOCHIKU-IMPORTEXPORT-GMBH_DEU268770-00101	SHOCHIKU IMPORT-EXPORT GMBH	Düsseldorf	1 - 10	food - import-export | import-export - food and agriculture	Registered office	FALSE	1984	Wholesaler	The company SHOCHIKU IMPORT-EXPORT GMBH, is a Wholesaler, founded in 1984, which operates in the Import-export - food and agriculture industry. It also operates in the Food - import-export industries. It is based in Düsseldorf, Germany.	http://www.shochiku.de	Immermannstr. 15 	40210	Import-export - food and agriculture, Food - import-export	NA	NA	14	51.22150831596021	6.78784163468172
germany	agriculture_livestock	agriculture_import_export	NA	KARCHER-STORE-SCHREIBER_00000005032632-001	KÄRCHER STORE SCHREIBER	Harsewinkel		import-export - food and agriculture		FALSE		Distributor	The company KÄRCHER STORE SCHREIBER, is a Distributor, which operates in the Import-export - food and agriculture industry. It is based in Harsewinkel, Germany.	http://www.kaerchershop-schreiber.de	Franz-Claas-Strasse 12 	33428	Import-export - food and agriculture	NA	NA	14	51.9633402810801	8.229505019796097
germany	agriculture_livestock	agriculture_import_export	NA	TOPFOOD-IM-UND-EXPORTGESELLSCHAFT-MBH-EUROPAISCHE-NAHRUNGSMITTELSPEZIALITATEN_DEU316125-00101	TOP-FOOD IM- UND EXPORTGESELLSCHAFT MBH EUROPÄISCHE NAHRUNGSMITTELSPEZIALITÄTEN	Heilbronn	1 - 10	food - import-export | import-export - food and agriculture		FALSE	1977	Distributor	The company TOP-FOOD IM- UND EXPORTGESELLSCHAFT MBH EUROPÄISCHE NAHRUNGSMITTELSPEZIALITÄTEN, is a Distributor, founded in 1977, which operates in the Import-export - food and agriculture industry. It also operates in the Food - import-export industries. It is based in Heilbronn, Germany.	http://www.topfood-gmbh.de	Schulgasse 9 	74072	Import-export - food and agriculture, Food - import-export	NA	NA	14	49.13924325	9.215612261200082
germany	agriculture_livestock	agriculture_import_export	NA	JFC-DEUTSCHLAND-GMBH_DEU391741-00101	JFC DEUTSCHLAND GMBH	Düsseldorf	11 - 50	food - import-export | import-export - food and agriculture		FALSE	2004	Wholesaler	The company JFC DEUTSCHLAND GMBH, is a Wholesaler, founded in 2004, which operates in the Import-export - food and agriculture industry. It also operates in the Food - import-export industries. It is based in Düsseldorf, Germany.	https://www.jfc.eu/en/	Theodorstr. 293 	40472	Import-export - food and agriculture, Food - import-export	NA	NA	14	51.272641027116244	6.807200021807967
germany	agriculture_livestock	agriculture_import_export	NA	STRUVE-GMBH_DEU248150-00101	STRUVE GMBH	Hamburg	201 - 500	food - import-export | import-export - food and agriculture	Registered office	FALSE	1988	Wholesaler	The company STRUVE GMBH, is a Wholesaler, founded in 1988, which operates in the Import-export - food and agriculture industry. It also operates in the Food - import-export industries. It is based in Hamburg, Germany.		Rathausmarkt 7 	20095	Import-export - food and agriculture, Food - import-export	NA	NA	14	53.550947634334754	9.99964573716873
germany	agriculture_livestock	agriculture_import_export	NA	FRISCHGETRANKE-GMBH_DEU243104-00101	FRISCHGETRÄNKE GMBH	Gütersloh	11 - 50	beverages - import-export | import-export - food and agriculture	Registered office	FALSE	1974	Manufacturer/ Producer	The company FRISCHGETRÄNKE GMBH, is a Manufacturer/ Producer, founded in 1974, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Gütersloh, Germany.		Gottlieb-Daimler-Str. 26 	33334	Import-export - food and agriculture, Beverages - import-export	NA	NA	14	51.9165593	8.331240135994186
