country	group	sector	subsector	id	company_name	company_city	company_headcount	supplier_of	site_status	verified_by_europages	year_established	main_activity	information	websites	address	postcode	keywords	products	products_language	chunk	lat	long
france	agriculture_livestock	agricultural_production	NA	SARL-DE-FRANCE_FRA631102-00101	SARL DE FRANCE	Faverolles Et Coemy		soil preparation services | crop services	Registered office	FALSE			The company SARL DE FRANCE, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Faverolles Et Coemy, France.		Route De Savigny 	51170	Crop services, Soil preparation services	NA	NA	3	49.225432600000005	3.7614028909102952
france	agriculture_livestock	agricultural_production	NA	AGRITERRE_FRA713649-00101	AGRITERRE	Villenoy	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company AGRITERRE, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Villenoy, France.		Hameau De Rutel 	77124	Crop services, Soil preparation services	NA	NA	3	48.96707961321306	2.8697099272347457
france	agriculture_livestock	agricultural_production	NA	SARLBADENS_FRA709046-00101	S.A.R.L.BADENS	Castelsarrasin	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company S.A.R.L.BADENS, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Castelsarrasin, France.		300 Chemin Du Chantre 	82100	Crop services, Soil preparation services	NA	NA	3	44.02079454688661	1.1069235298668316
france	agriculture_livestock	agricultural_production	NA	SARL-DURAND-FRERES_FRA728135-00101	SARL DURAND FRERES	Bissy Sur Fley	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company SARL DURAND FRERES, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Bissy Sur Fley, France.		71460 Bissy Sur Fley	NA	Crop services, Soil preparation services	NA	NA	3	NA	NA
france	agriculture_livestock	agricultural_production	NA	SOCIETE-COOPERATIVE-ALSALIE_FRA629107-00101	SOCIETE COOPERATIVE ALSALIE	Colmar		soil preparation services | crop services	Registered office	FALSE			The company SOCIETE COOPERATIVE ALSALIE, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Colmar, France.		15 Avenue D Alsace 	68000	Crop services, Soil preparation services	NA	NA	3	48.111095000000006	7.363622702110888
france	agriculture_livestock	agricultural_production	NA	SARL-PASQUEREAU_FRA776447-00101	SARL PASQUEREAU	Tauxigny	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company SARL PASQUEREAU, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Tauxigny, France.		Humeau 	37310	Crop services, Soil preparation services	NA	NA	3	47.22038922162064	0.9149673283981131
france	agriculture_livestock	agricultural_production	NA	SARL-LEHERLE-FILS_FRA655776-00101	SARL LEHERLE & FILS	Waly	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company SARL LEHERLE & FILS, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Waly, France.		55250 Waly	NA	Crop services, Soil preparation services	NA	NA	3	NA	NA
france	agriculture_livestock	agricultural_production	NA	ENTREPRISE-TOUCHAIS_FRA712960-00101	ENTREPRISE TOUCHAIS	Servon	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company ENTREPRISE TOUCHAIS, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Servon, France.		Le Haut De La Rue 	50170	Crop services, Soil preparation services	NA	NA	3	48.59466540786515	-1.4931670003578268
france	agriculture_livestock	agricultural_production	NA	SARL-BOCAGE-SERVICES-ROSSARD_FRA789862-00101	SARL BOCAGE SERVICES ROSSARD	Chailland	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company SARL BOCAGE SERVICES ROSSARD, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Chailland, France.		21 Rue Des Forges 	53420	Crop services, Soil preparation services	NA	NA	3	48.226748900000004	-0.8796116892549513
france	agriculture_livestock	agricultural_production	NA	EURL-SALIOU_FRA680687-00101	EURL SALIOU	Kerlaz	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company EURL SALIOU, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Kerlaz, France.		Le Cotty 	29100	Crop services, Soil preparation services	NA	NA	3	48.06135515	-4.331963171648397
