country	group	sector	subsector	id	company_name	company_city	company_headcount	supplier_of	site_status	verified_by_europages	year_established	main_activity	information	websites	address	postcode	keywords	products	products_language	chunk	lat	long
france	agriculture_livestock	agriculture_import_export	NA	INTER-FRUITS_FRA705982-00101	INTER FRUITS	Nice	1 - 10	import-export - food and agriculture | tobacco and smokers items | tobacco	Registered office	FALSE			The company INTER FRUITS, which operates in the Import-export - food and agriculture industry. It also operates in the Tobacco and smokers items, and Tobacco industries. It is based in Nice, France.		Min St Augustin Box 77 Pal7 	06200	Import-export - food and agriculture, Tobacco and smokers items, Tobacco	NA	NA	11	43.680100192978784	7.210181706972957
france	agriculture_livestock	agriculture_import_export	NA	F-RAQUILLET_FRA606840-00101	F. RAQUILLET	Mercurey	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company F. RAQUILLET, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Mercurey, France.	http://www.domaine-raquillet.com	19 Rue De Jamproyes 	71640	Import-export - food and agriculture, Beverages - import-export	NA	NA	11	46.792190896908565	4.750736482165656
france	agriculture_livestock	agriculture_import_export	NA	SKARE-FRANCE_FRA649345-00101	SKARE FRANCE	Chevilly Larue	1 - 10	import-export - food and agriculture | tobacco	Registered office	FALSE			The company SKARE FRANCE, which operates in the Import-export - food and agriculture industry. It also operates in the Tobacco industries. It is based in Chevilly Larue, France.	http://www.skare.com/UK/velkomst.asp	54 Rue Des Prouvaires Min 	94550	Import-export - food and agriculture, Tobacco	NA	NA	11	48.76915091764707	2.357192280605067
france	agriculture_livestock	agriculture_import_export	NA	DYONISOS_FRA795777-00101	DYONISOS	Paris	1 - 10	import-export - food and agriculture | tobacco	Registered office	FALSE			The company DYONISOS, which operates in the Import-export - food and agriculture industry. It also operates in the Tobacco industries. It is based in Paris, France.	https://www.traiteurdionysos.fr/	56 Rue De La Sabliere 	75014	Import-export - food and agriculture, Tobacco	NA	NA	11	48.8295667	2.3239624642685364
germany	agriculture_livestock	agriculture_import_export	NA	WOOVE-GMBH_00000005400296-729667001	WOOVE GMBH	Stuttgart	51 - 100	chemicals - import-export | agriculture - import-export | agricultural products | ferrous scraps collection		FALSE		Wholesaler	Woove GmbH, founded in the year 1999 is a trading company based in Stuttgart, specialized in the worldwide sales of food & non-food FMCG products. In our portfolio we have many well-known brands, such as: Food: bulk wholesale sweets, Ferrero, Mars, Nestlé, Ovomaltine, Lotus Biscoff, Hipp, Aptamil, Mentos, and many others. Non-Food: Persil, Ariel, Fairy, Pril, Lenor, Nivea, Alpecin and many others. Tools: Scraps, Chemicals .The company has created a buzz in the domestic and international markets and also works with some wholesale sweets uk companies as well as some import and export companies worldwide owing to the quality it offers. Under the leadership of eminent mentors, the company has grown by leaps and bounds. We provide products of well-known international brands such as: Nutella Products Nutella / Nutella&Go! , Ferrero Rocher Raffaello / Ferrero-Collection , Tic Tac Products Tic-Tac / Tic-Tac-Mixers / Tic-Tac-Gum , Kinder Products Kinder-Surprise / Kinder-Chocolate / Kinder-Choco-Bons / Kinder-Bueno. We deal with multinational companies and their authorized channels of distribution as well as with local producers. We obey the rules set by the industry.	https://woo-ve.com	Mathildenstraße 67 	70499	Agriculture - import-export, Chemicals - import-export, agricultural products, ferrous scraps collection	Ferrero Nutella® | Redbull | Milka Chocolate | Coca Cola drink | Nestle Nesquik | Bode® Sterillium Hand Sanitizer | Royal Canin PET food Wholesale | Ammonium Sulfate	united kingdom	11	48.81215926711691	9.108738398325777
germany	agriculture_livestock	agriculture_import_export	NA	WTC-TRADING-COMPANY_00000005345696-643185001	WTC - TRADING COMPANY	Hamburg	1 - 10	agriculture - import-export | steel & metals | cane sugar | used train rails | deep frozen chicken	Registered office	FALSE	2014	Wholesaler	TOGETHER FOR SUCCESS We are association of manufacturing companies selling our product all around the world. We would like to take this opportunity to introduce our company WTC - Trading Company OUR SERVICES our professionals do every job quickly and reliably. We are committed in the respect for individual, integrity, speed, and simplicity. Our values are our origin in order to provide market leadership and brand coverage with pursues technological innovation. The management works for the maximum productivity and facilitate customers, employees, communities and the environment with best possible approach.	http://www.wtc-trade.net/	Cuxhavenerstrasse 64 	21149	Steel & Metals, Agriculture - import-export, Used Train Rails, cane sugar, Deep Frozen Chicken	Energy, Fuel, Oil | Jet Fuel A1	united kingdom	11	53.46707743206451	9.853215028895958
germany	agriculture_livestock	agriculture_import_export	NA	RAJESH-GLOBAL-GMBH_00000005376306-688408001	RAJESH GLOBAL GMBH	Unterhaking	11 - 50	agriculture - import-export		FALSE		Manufacturer/ Producer	Rajesh Global is the market leader in designing jewellery for over 48 Years. We established ourselves as Rajesh silver in 1970 producing quality Anklets and other jewellery. Along these years we have achieved more than 10000 satisfied customers. Our roots are strongly grounded in India and now we are spreading our branches in European countries as Rajesh Global. Since our initiation, our number one rule is “The right blending of traditional techniques with modern management and technology”. We deal in fine quality Indian basmati rice quite popular in European countries for its distinct and pleasant aroma. We are one of the most distinguished exporters of traditional basmati rice. Devgad Alphonso carries the sweetness of nature with a pleasant aroma, which makes it the most demanding fruit in the world. The distinctiveness comes from the geographical conditions of Devgad. Devgad Alphonso is a result of the typical climatic conditions and soil characteristics of Devgad region.	https://rajeshglobal.com/	Oberweg 6 	82008	Agriculture - import-export	NA	NA	11	48.0700547	11.622559599703935
germany	agriculture_livestock	agriculture_import_export	NA	HALLER-AG_00000004529664-332118001	HALLER AG	Ladbergen	11 - 50	agriculture - import-export		FALSE		Wholesaler	Welcome to HallerLivestock trading from the heart of German cattle and pig farming, with our heart and soul, focusing on the essential and the strength of an experienced partner: this is our business! We offer first class pigs, piglets, dairy and beef cattle.	http://www.haller-ag.de	Am Kanal 2-4 	49549	Agriculture - import-export	NA	NA	11	52.13613105	7.754975009868306
germany	agriculture_livestock	agriculture_import_export	NA	POLOMOLO_00000005397061-722228001	POLOMOLO	Herne	1 - 10	agriculture - import-export | products for beauticians | security strong boxes | applicable eu law compliance planning | administrative law		FALSE		Service Provider	In unserer Firma läuft bei allen sehr gut, wir können alles machen, sie Sie verwenden möchten. ....	https://google.com	AnnaStr. 6 	44809	Agriculture - import-export, products for beauticians, security strong boxes, applicable eu law compliance planning, administrative law	NA	NA	11	51.49900043518123	7.199253318882133
germany	agriculture_livestock	agriculture_import_export	NA	ORIGINAL-CHIA-NLD_00000004876126-001	ORIGINAL CHIA NLD	Lüneburg		agriculture - import-export		FALSE	2007	Wholesaler	The company ORIGINAL CHIA NLD, is a Wholesaler, founded in 2007, which operates in the Agriculture - import-export industry. It is based in Lüneburg, Germany.	http://www.originalchia.de	Grapengießerstrasse 15 	21335	Agriculture - import-export	NA	NA	11	53.233043545963426	10.397028358372054
