country	group	sector	subsector	id	company_name	company_city	company_headcount	supplier_of	site_status	verified_by_europages	year_established	main_activity	information	websites	address	postcode	keywords	products	products_language	chunk	lat	long
austria	agriculture_livestock	agriculture_import_export	NA	A-BLAU-GESMBH_00000005185736-001	A. BLAU GES.MBH	Zeiselmauer		import-export - food and agriculture | ores, ferrous and non-ferrous | import-export - mechanical engineering | stationery | clothes, men's		FALSE		Service Provider	The company A. BLAU GES.MBH, is a Service Provider, which operates in the Import-export - food and agriculture industry. It also operates in the Ores, ferrous and non-ferrous, Import-export - mechanical engineering, Stationery, and Clothes, men's industries. It is based in Zeiselmauer, Austria.	http://www.a-blau.at	Giselhergasse 22 	3424	Import-export - food and agriculture, Ores, ferrous and non-ferrous, Import-export - mechanical engineering, Stationery, Clothes, men's	NA	NA	5	48.328131856281104	16.16182483129695
austria	agriculture_livestock	agriculture_import_export	NA	KNOFLACH-EITZINGER_00000005209413-001	KNOFLACH - EITZINGER	Frankenmarkt		import-export - food and agriculture | coffee and tea | drinks, soft | juices, fruit and vegetable | liquors and spirits		FALSE		Manufacturer/ Producer	The company KNOFLACH - EITZINGER, is a Manufacturer/ Producer, which operates in the Coffee and tea industry. It also operates in the Drinks, soft, Juices, fruit and vegetable, Liquors and spirits, and Import-export - food and agriculture industries. It is based in Frankenmarkt, Austria.	http://www.knoflach-eitzinger.at	Schwertfern 29 	4890	Coffee and tea, Drinks, soft, Juices, fruit and vegetable, Liquors and spirits, Import-export - food and agriculture	NA	NA	5	47.97964559531134	13.41758686122215
austria	agriculture_livestock	agriculture_import_export	NA	ENGELBERT-REHEIS_00000005201649-001	ENGELBERT REHEIS	Imst		import-export - food and agriculture | fish | dietary and organic foods | foods, precooked and gourmet | gastronomic specialties		FALSE		Manufacturer/ Producer	The company ENGELBERT REHEIS, is a Manufacturer/ Producer, which operates in the Fish industry. It also operates in the Dietary and organic foods, Foods, precooked and gourmet, Gastronomic specialties, and Import-export - food and agriculture industries. It is based in Imst, Austria.	http://www.stiele.info	Königskapelle 1 	6460	Fish, Dietary and organic foods, Foods, precooked and gourmet, Gastronomic specialties, Import-export - food and agriculture	NA	NA	5	47.236811772994436	10.737363136108662
austria	agriculture_livestock	agriculture_import_export	NA	DEBBY-FASHION-GESMBH_00000005203699-001	DEBBY FASHION GES.M.B.H.	Villach		import-export - food and agriculture | stationery | clothes, men's | clothes, women's | ready-made garments - ladies'		FALSE		Wholesaler	The company DEBBY FASHION GES.M.B.H., is a Wholesaler, which operates in the Import-export - food and agriculture industry. It also operates in the Stationery, Clothes, men's, Clothes, women's, and Ready-made garments - ladies' industries. It is based in Villach, Austria.		Leiningengasse 18 	9500	Import-export - food and agriculture, Stationery, Clothes, men's, Clothes, women's, Ready-made garments - ladies'	NA	NA	5	46.6226909	13.804679368074844
austria	agriculture_livestock	agriculture_import_export	NA	HOMECARE-HANDELSGMBH_00000005222539-001	HOME-CARE HANDELSGMBH	Ohlsdorf		food - import-export | import-export - food and agriculture | frozen and deep-frozen foods | oils and fats, edible | ores, ferrous and non-ferrous		FALSE		Wholesaler	The company HOME-CARE HANDELSGMBH, is a Wholesaler, which operates in the Frozen and deep-frozen foods industry. It also operates in the Oils and fats, edible, Import-export - food and agriculture, Food - import-export, and Ores, ferrous and non-ferrous industries. It is based in Ohlsdorf, Austria.	http://www.home-care.at	Birkenstrasse 9 	4694	Frozen and deep-frozen foods, Oils and fats, edible, Import-export - food and agriculture, Food - import-export, Ores, ferrous and non-ferrous	NA	NA	5	47.961479243704666	13.79283237995949
austria	agriculture_livestock	agriculture_import_export	NA	YOUR-FOOD-BRANDS-GMBH_AUT058924-00101	YOUR FOOD BRANDS GMBH	Wien	1 - 10	import-export - food and agriculture | food - import-export	Registered office	FALSE	2007	Wholesaler	The company YOUR FOOD BRANDS GMBH, is a Wholesaler, founded in 2007, which operates in the Food - import-export industry. It also operates in the Import-export - food and agriculture industries. It is based in Wien, Austria.	http://www.yourfoodbrands.com	Hirschstettner Straße 19-21 	1220	Food - import-export, Import-export - food and agriculture	NA	NA	5	48.23050266712495	16.47994748602962
austria	agriculture_livestock	agriculture_import_export	NA	PELLINI-CAFFE-AUSTRIA_00000005203146-001	PELLINI CAFFE AUSTRIA	Judendorf-Straßengel		import-export - food and agriculture | coffee and tea | condiments, extracts and spices | cocoa and chocolate | hotels, bars, cafés and restaurants - machinery and equipment		FALSE		Manufacturer/ Producer	The company PELLINI CAFFE AUSTRIA, is a Manufacturer/ Producer, which operates in the Coffee and tea industry. It also operates in the Condiments, extracts and spices, Cocoa and chocolate, Import-export - food and agriculture, and Hotels, bars, cafés and restaurants - machinery and equipment industries. It is based in Judendorf-Straßengel, Austria.	http://www.pellini.at	Siedlungsstrasse 55 	8111	Coffee and tea, Condiments, extracts and spices, Cocoa and chocolate, Import-export - food and agriculture, Hotels, bars, cafés and restaurants - machinery and equipment	NA	NA	5	47.11564014539302	15.331309423317444
austria	agriculture_livestock	agriculture_import_export	NA	UNILEVER-AUSTRIA-GMBH_AUT007938-00101	UNILEVER AUSTRIA GMBH	Wien	201 - 500	food - import-export | import-export - food and agriculture | beauty care - instruments | cleaning and maintenance products, household	Registered office	FALSE	1848	Wholesaler	The company UNILEVER AUSTRIA GMBH, is a Wholesaler, founded in 1848, which operates in the Import-export - food and agriculture industry. It also operates in the Food - import-export, Beauty care - instruments, and Cleaning and maintenance products, household industries. It is based in Wien, Austria.	http://www.unilever.at	Stella-Klein-Löw-Weg 13 	1023	Import-export - food and agriculture, Food - import-export, Beauty care - instruments, Cleaning and maintenance products, household	NA	NA	5	48.1855235	16.4586066
austria	agriculture_livestock	agriculture_import_export	NA	OAZA-HANDEL-EU_00000005462185-831224001	OAZA HANDEL E.U.	Linz	1 - 10	import-export - food and agriculture | organic herbal teas		FALSE		Retailer	The company OAZA HANDEL E.U., is a Retailer, which operates in the Import-export - food and agriculture industry. It also operates in the organic herbal teas industries. It is based in Linz, Austria.	https://www.oaza-handel.at/	Waldmüllergang 10a 	4020	Import-export - food and agriculture, organic herbal teas	NA	NA	5	48.287980649651786	14.294218393356104
austria	agriculture_livestock	agriculture_import_export	NA	FENDT-GMBH-CO-KG_00000005186112-001	FENDT GMBH & CO. KG	St. Pölten		food - import-export | import-export - food and agriculture | shellfish and crustaceans | fish		FALSE		Service Provider	The company FENDT GMBH & CO. KG, is a Service Provider, which operates in the Shellfish and crustaceans industry. It also operates in the Fish, Import-export - food and agriculture, and Food - import-export industries. It is based in St. Pölten, Austria.	http://www.j-fendt.at	Mariazeller Strasse 8 	3100	Shellfish and crustaceans, Fish, Import-export - food and agriculture, Food - import-export	NA	NA	5	48.1953214	15.620691765202107
