country	group	sector	subsector	id	company_name	company_city	company_headcount	supplier_of	site_status	verified_by_europages	year_established	main_activity	information	websites	address	postcode	keywords	products	products_language	chunk	lat	long
france	agriculture_livestock	agriculture_import_export	NA	CAVES-GILLES_FRA653150-00101	CAVES GILLES	Dombasle Sur Meurthe	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company CAVES GILLES, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Dombasle Sur Meurthe, France.	http://www.caves-gilles.com	144 Route De Rosieres 	54110	Import-export - food and agriculture, Beverages - import-export	NA	NA	6	48.64490515	6.353964512355041
france	agriculture_livestock	agriculture_import_export	NA	FRANCOIS-D-ALLAINES_FRA606734-00101	FRANCOIS D ALLAINES	Demigny	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company FRANCOIS D ALLAINES, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Demigny, France.	http://www.dallaines.com/contact/	La Corvee Du Paquier 	71150	Import-export - food and agriculture, Beverages - import-export	NA	NA	6	46.8836275	4.754961176605013
france	agriculture_livestock	agriculture_import_export	NA	GIRAUD-DITRIBUTION_FRA708386-00101	GIRAUD DITRIBUTION	Ay	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company GIRAUD DITRIBUTION, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Ay, France.	http://www.giraud-distribution.com	67 Boulevard Charles De Gaulle 	51160	Import-export - food and agriculture, Beverages - import-export	NA	NA	6	49.0832247	4.0432281820555644
france	agriculture_livestock	agriculture_import_export	NA	ETS-MARCHAIS_FRA707534-00101	ETS MARCHAIS	Montguyon	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company ETS MARCHAIS, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Montguyon, France.	https://www.ets-marchais.com/	Le Bourg 	17270	Import-export - food and agriculture, Beverages - import-export	NA	NA	6	45.19720513826695	-0.1712182414023957
france	agriculture_livestock	agriculture_import_export	NA	ETABLISSEMENTS-MAISTRE_FRA639107-00101	ETABLISSEMENTS MAISTRE	Drap	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company ETABLISSEMENTS MAISTRE, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Drap, France.	https://etsmaistre.com/	37 Boulevard General De Gaulle 	06340	Import-export - food and agriculture, Beverages - import-export	NA	NA	6	43.7533469	7.346318593810425
france	agriculture_livestock	agriculture_import_export	NA	ETABLISSEMENTS-AUTEFAGE_FRA631630-00101	ETABLISSEMENTS AUTEFAGE	Masseube	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company ETABLISSEMENTS AUTEFAGE, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Masseube, France.	https://autefagefrancisets.site-solocal.com/	Route De Simorre 	32140	Import-export - food and agriculture, Beverages - import-export	NA	NA	6	43.394800399999994	0.5855101059163633
france	agriculture_livestock	agriculture_import_export	NA	SARL-DURAND_FRA644557-00101	SARL DURAND	Crezancy En Sancerre	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company SARL DURAND, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Crezancy En Sancerre, France.	https://www.domaine-durand.fr/	Les Epsailles 	18300	Import-export - food and agriculture, Beverages - import-export	NA	NA	6	47.288340616943515	2.8696269841448654
france	agriculture_livestock	agriculture_import_export	NA	BOISSONS-DISTRIBUTIONS_FRA640185-00101	BOISSONS DISTRIBUTIONS	Vendres	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company BOISSONS DISTRIBUTIONS, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Vendres, France.	https://www.audie-boissons.com/	2 B Rue De Lisbonne Za Via Europa 	34350	Import-export - food and agriculture, Beverages - import-export	NA	NA	6	43.2568884	3.226159929197001
france	agriculture_livestock	agriculture_import_export	NA	CAVES-NANCY-GREG_FRA656655-00101	CAVES NANCY GREG	Croix Caluyau	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company CAVES NANCY GREG, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Croix Caluyau, France.	http://www.cavesnancygreg.fr/www.cavesnancygreg.fr/index.html	35 Route Nationale 	59222	Import-export - food and agriculture, Beverages - import-export	NA	NA	6	50.14716675	3.5941565511815616
france	agriculture_livestock	agriculture_import_export	NA	VINS-SPIRITUEUX-BAXELLERIE_FRA714062-00101	VINS SPIRITUEUX BAXELLERIE	Tarbes	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company VINS SPIRITUEUX BAXELLERIE, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Tarbes, France.	http://www.cavesbaxellerie.fr/	8 Rue Ramond 	65000	Import-export - food and agriculture, Beverages - import-export	NA	NA	6	43.238862	0.06370404131696623
france	agriculture_livestock	agriculture_import_export	NA	BLM-BLOODSTOCK_FRA610765-00101	BLM BLOODSTOCK	Colombiers		import-export - food and agriculture | food - import-export | fabrics	Registered office	FALSE			The company BLM BLOODSTOCK, which operates in the Food - import-export industry. It also operates in the Fabrics, and Import-export - food and agriculture industries. It is based in Colombiers, France.		Haras Du Buff 	61250	Food - import-export, Fabrics, Import-export - food and agriculture	NA	NA	6	48.45612919828321	0.09222860540250934
france	agriculture_livestock	agriculture_import_export	NA	COGNAC-DE-LUZE_FRA622924-00101	COGNAC DE LUZE	Angeac Champagne	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company COGNAC DE LUZE, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Angeac Champagne, France.	http://www.cognac-de-luze.com	Domaine Boinaud Le Bois 	16130	Import-export - food and agriculture, Beverages - import-export	NA	NA	6	45.61155744516705	-0.2675999413230764
