country	group	sector	subsector	id	company_name	company_city	company_headcount	supplier_of	site_status	verified_by_europages	year_established	main_activity	information	websites	address	postcode	keywords	products	products_language	chunk	lat	long
spain	agriculture_livestock	agriculture_import_export	NA	CHOLLOFRUTAS_00000003915619-198927001	CHOLLOFRUTAS	madrid	1 - 10	food - import-export | intermediation for import-export		FALSE		Agent/ Representative	The company CHOLLOFRUTAS, is a Agent/ Representative, which operates in the Food - import-export industry. It also operates in the intermediation for import-export industries. It is based in madrid, Spain.		mercamadrid 	28010	Food - import-export, intermediation for import-export	NA	NA	17	40.43294215555553	-3.6996876495270095
spain	agriculture_livestock	agriculture_import_export	NA	BILDERBERG-BIG-SL_00000004663274-464544001	BILDERBERG BIG S.L.	Málaga	1 - 10	beverages - import-export | foodstuffs - import/export | olive oil | drinks agents and representatives	Registered office	FALSE	2014	Subcontractor	The company BILDERBERG BIG S.L., is a Subcontractor, founded in 2014, which operates in the Beverages - import-export industry. It also operates in the Olive oil, foodstuffs - import/export, and drinks agents and representatives industries. It is based in Málaga, Spain.		Póligono San Luis, c. La Orotava 101 	29006	Beverages - import-export, Olive oil, foodstuffs - import/export, drinks agents and representatives	NA	NA	17	36.70811991164559	-4.463841331528261
spain	agriculture_livestock	agriculture_import_export	NA	GLOVENDO_00000004660027-460856001	GLOVENDO	Valdemoro	1 - 10	beverages - import-export | machines - import-export | import-export - precision instruments | central purchasing office | extra virgin oil		FALSE		Agent/ Representative	The company GLOVENDO, is a Agent/ Representative, which operates in the Import-export - precision instruments industry. It also operates in the Central purchasing office, Beverages - import-export, Machines - import-export, and Extra virgin oil industries. It is based in Valdemoro, Spain.	http://www.onexports.com	Calle Venus 7 	28341	Import-export - precision instruments, Central purchasing office, Beverages - import-export, Machines - import-export, Extra virgin oil	NA	NA	17	40.18424538620689	-3.6814268849377223
spain	agriculture_livestock	agriculture_import_export	NA	GANADOS-RUIGAN-SL_00000005244869-561216001	GANADOS RUIGAN S.L	Toledo	11 - 50	livestock - import-export | cattle import export	Registered office – Parent company	FALSE	1960	Distributor	The company GANADOS RUIGAN S.L, is a Distributor, founded in 1960, which operates in the Livestock - import-export industry. It also operates in the Cattle import export industries. It is based in Toledo, Spain.	http://www.ruigan.net	Travesía Eras, Nº 9 Menasalbas Toledo 	45128	Livestock - import-export, Cattle import export	Limousin and Charolais First Quality | Lambs of First Quality	spain	17	39.6410495	-4.282761465134788
spain	agriculture_livestock	agriculture_import_export	NA	LP-GLOBAL_00000004753336-538957001	L&P GLOBAL	Valldoreix	1 - 10	food - import-export | foodstuffs - import/export | fruits and vegetables - import-export | export of olive oil | wine exporter		FALSE		Service Provider	The company L&P GLOBAL, is a Service Provider, which operates in the Food - import-export industry. It also operates in the Fruits and vegetables - import-export, Export of olive oil, wine exporter, and foodstuffs - import/export industries. It is based in Valldoreix, Spain.	http://www.lpglobal.eu/	Paseo de Rubi, 37 - Local E planta 1º 	08197	Food - import-export, Fruits and vegetables - import-export, Export of olive oil, wine exporter, foodstuffs - import/export	NA	NA	17	41.46116972142857	2.0566496552562725
spain	agriculture_livestock	agriculture_import_export	NA	DIPLATAS-272-S-L_00000003903251-190239001	DIPLATAS 272 S. L.	Badajoz	1 - 10	food - import-export | meat import export | frozen foodstuffs export	Registered office	FALSE	2009	Distributor	The company DIPLATAS 272 S. L., is a Distributor, founded in 2009, which operates in the Food - import-export industry. It also operates in the frozen foodstuffs export, and meat import export industries. It is based in Badajoz, Spain.		Plaza de España, nº 6 - 4º - 1 	06002	Food - import-export, frozen foodstuffs export, meat import export	NA	NA	17	38.8770904170497	-6.968212873534601
spain	agriculture_livestock	agriculture_import_export	NA	FERRAS-CARGO_00000003989436-257528001	FERRAS CARGO	Valencia	11 - 50	intermediation for import-export | import/export service | sea freight | wine exporter | containers		FALSE		Service Provider	The company FERRAS CARGO, is a Service Provider, which operates in the Sea freight industry. It also operates in the intermediation for import-export, import/export service, wine exporter, and containers industries. It is based in Valencia, Spain.	http://www.ferrascargo.com/	C/ PINTOR SALVADOR ABRIL Nº 3, 6 	46005	Sea freight, intermediation for import-export, import/export service, wine exporter, containers	NA	NA	17	39.46427479101567	-0.36720224336338453
spain	agriculture_livestock	agriculture_import_export	NA	COMERCIALIZADORA-AQUAMAR-ESPANA-SL_00000005243494-560298001	COMERCIALIZADORA AQUAMAR ESPAÑA, S.L.	Benalmádena Costa	51 - 100	food - import-export | foodstuffs - import/export | fish, seafood and snails, preserved | olive oil | sunflower oil		FALSE		Distributor	The company COMERCIALIZADORA AQUAMAR ESPAÑA, S.L., is a Distributor, which operates in the Food - import-export industry. It also operates in the Fish, seafood and snails, preserved, foodstuffs - import/export, olive oil, and sunflower oil industries. It is based in Benalmádena Costa, Spain.	http://www.empresas-aquamar.com	Avenida Antonio Machado, 96, C.C. Pueblo Quinta, Nro. 08 	29630	Food - import-export, Fish, seafood and snails, preserved, foodstuffs - import/export, olive oil, sunflower oil	NA	NA	17	36.58977266136364	-4.538800321375315
spain	agriculture_livestock	agriculture_import_export	NA	UVAS-DEL-VALLE-DE-ASPE-SL_00000005322780-619315001	UVAS DEL VALLE DE ASPE, S.L.	La Romana	11 - 50	grapes import export | grapes | grapes | table grapes | packaged grapes	Registered office – Parent company	FALSE	1975	Manufacturer/ Producer	"UVAS DEL VALLE DE ASPE S.L is a company with more than 40 years of experience in the cultivation, commercialization and export of table grape of the Vinalopo, as well as other types of fruit of the region.Our company is located in the municipality of Aspe, in the heart of the Vinalopo Valley. In this region the cultivation of table grapes has had a primordial historical importance.The Vinalopo Valley is located in a privileged place of the province of Alicante, between the mountains and the sea. Blessed with a mild microclimate throughout the year that benefits a generous land. From UVAS DEL VALLE DE ASPE we are proud to be part of this region of Vinalopo Bagged Table Grape, which sells millions of kilograms of this product every year in the main national and international markets.Why choose UVAS DEL VALLE DE ASPE? For the high quality of our products.The Bagged Table Grape of Vinalopo is a unique fruit in the world due to its particular ripening process.Unlike other table grapes, the Vinalopo grape grows protected under a paper bag that cares for and slow maturation and keeps all the grains of the bunch. Thanks to this traditional cultivation technique, the table grape of Vinalopo has exceptional physical and gastronomic characteristics, which have made it the only bagged table grape in the world with a Denomination of Origin ""Vinalopo Table Grape."""	http://uvasdelvalledeaspe.com/en/	Mayor, 42 	03669	Grapes, grapes, table grapes, packaged grapes, Grapes import export	Buy Table Bagged Grapes in Bulk from Spain	united kingdom	17	38.355725375	-0.8925013873044407
spain	agriculture_livestock	agriculture_import_export	NA	SOUTHBREEZE-IMPORT-EXPORT-SLU_00000004646432-453438001	SOUTHBREEZE IMPORT EXPORT SLU	Málaga.	1 - 10	beverages - import-export | food - import-export | foodstuffs - import/export | distribution of food products | distribution of beverages	Registered office	FALSE	2011	Wholesaler	South Breeze Import Export s.l.u., importer, exporter and wholesale food and beverages distributor. 4 years' experience in the sector. Our main products are: extra virgin olive oil. Wines: young, aged, sweet, reserve, grand reserve, sweet white, dry white. Cheese: semi-dry and dry. Goats' cheese and ewes' cheese. Honey: multi-flower, thyme, rosemary, eucalyptus, orange blossom, forest berries, avocado. Canned vegetables: artichokes, artichoke dip, etc.	http://www.importexportsouthbreeze.es	Calle Ciudad de Andujar nº 11, local 1 Bajo. 	29006	Food - import-export, Beverages - import-export, foodstuffs - import/export, Distribution of food products, distribution of beverages	Agua Mineral Fillete, Pet 50 cl. La mejor agua del mundo. | ¡OFERTA! MIEL MILFLORES DE ESPAÑA 1 KG. 5,50€ UND. | OFERTÓN ARROZ LARGO ESPAÑOL 0,75€/KG. | VINO TINTO JOVEN RONDAN D.O. LA RIOJA 2,90€/UND. | PATATAS FRITAS CAMPESINAS 30 GRS. 0, 33€/Und. | ACEITE OLIVA VIRGEN EXTRA 250 ML. 3,30€/U. | ACEITE OLIVA VIRGEN EXTRA ECOLÓGICO LATA 500ML. 7,50€ | ¡REBAJAS! MIEL ECOLOGICA 500 GRS. 6,05€/Und. | ¡REBAJAS! Mermelada artesana de fresa. 2,30€/und. | ¡REBAJAS! MOUSSE DE CALABACIN 2,45€/UND.	spain	17	36.70811991164559	-4.463841331528261
