country	group	sector	subsector	id	company_name	company_city	company_headcount	supplier_of	site_status	verified_by_europages	year_established	main_activity	information	websites	address	postcode	keywords	products	products_language	chunk	lat	long
france	agriculture_livestock	agricultural_production	NA	SARL-ENTR-TRAVAUX-AGRICOLES-DOURDAN_FRA608827-00101	SARL ENTR TRAVAUX AGRICOLES DOURDAN	Villampuy	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company SARL ENTR TRAVAUX AGRICOLES DOURDAN, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Villampuy, France.		La Bourdiniere 	28200	Crop services, Soil preparation services	NA	NA	2	48.07462283846152	1.3453858692694303
france	agriculture_livestock	agricultural_production	NA	SARL-NOIRAULT-GERARD-ET-GUY_FRA776142-00101	SARL NOIRAULT GERARD ET GUY	Jousse	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company SARL NOIRAULT GERARD ET GUY, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Jousse, France.		Lieu Dit Les Janilles 	86350	Crop services, Soil preparation services	NA	NA	2	46.264322050000004	0.5062562107951185
france	agriculture_livestock	agricultural_production	NA	SARL-TASTARD_FRA725898-00101	SARL TASTARD	Ruffiac	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company SARL TASTARD, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Ruffiac, France.		Gaincru 	56140	Crop services, Soil preparation services	NA	NA	2	47.81064089127904	-2.3557694485028478
france	agriculture_livestock	agricultural_production	NA	LEBRUN-SARL_FRA739777-00101	LEBRUN SARL	Bertincourt	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company LEBRUN SARL, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Bertincourt, France.		26 Rue Du Marechal Foch 	62124	Crop services, Soil preparation services	NA	NA	2	50.09750085	2.961833964755056
france	agriculture_livestock	agricultural_production	NA	LE-PERICARD_FRA778888-00101	LE PERICARD	Magnet	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company LE PERICARD, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Magnet, France.		Le Pericard 	03260	Crop services, Soil preparation services	NA	NA	2	46.22338785	3.4569494133555496
france	agriculture_livestock	agricultural_production	NA	LECLERC-ETAV_FRA711255-00101	LECLERC ETAV	Vert Toulon	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company LECLERC ETAV, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Vert Toulon, France.		20 Rue Des Ruisselots 	51130	Crop services, Soil preparation services	NA	NA	2	48.8826278	4.048218555640632
france	agriculture_livestock	agricultural_production	NA	POUJAUD-ANDRE-ET-FILS_FRA729406-00101	POUJAUD ANDRE ET FILS	La Souterraine	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company POUJAUD ANDRE ET FILS, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in La Souterraine, France.		Les Hommes 	23300	Crop services, Soil preparation services	NA	NA	2	46.24211997210627	1.4959725607293601
france	agriculture_livestock	agricultural_production	NA	ENTREPRISE-ORAIN_FRA729224-00101	ENTREPRISE ORAIN	Quilly	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company ENTREPRISE ORAIN, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Quilly, France.		7 B Route Dame De Grace 	44750	Crop services, Soil preparation services	NA	NA	2	47.42247951923077	-1.9645133881158543
france	agriculture_livestock	agricultural_production	NA	AGRI-WOEVRE_FRA661546-00101	AGRI WOEVRE	Fresnes En Woevre	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company AGRI WOEVRE, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Fresnes En Woevre, France.		Sous Les Cotes 	55160	Crop services, Soil preparation services	NA	NA	2	49.08878945	5.67916984976262
france	agriculture_livestock	agricultural_production	NA	CUMA-DE-LABERGEMENT-CLEMENCIAT_FRA657579-00101	CUMA DE L'ABERGEMENT CLEMENCIAT	L Abergement Clemenciat	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company CUMA DE L'ABERGEMENT CLEMENCIAT, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in L Abergement Clemenciat, France.		Lieu Dit Le Pont Du Village 	01400	Crop services, Soil preparation services	NA	NA	2	46.1240188	4.995777231470218
france	agriculture_livestock	agricultural_production	NA	SARL-NIZAN-SERGE_FRA674046-00101	SARL NIZAN SERGE	Mordelles	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company SARL NIZAN SERGE, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Mordelles, France.		La Riviere Bouvier 	35310	Crop services, Soil preparation services	NA	NA	2	48.075416691952505	-1.8345663302255706
france	agriculture_livestock	agricultural_production	NA	GENERALE-DE-PRESTATIONS-CENTRE-SUD-OUEST_FRA762058-00101	GENERALE DE PRESTATIONS CENTRE SUD OUEST	Loupiac De La Reole	1 - 10	soil preparation services | crop services	Registered office	FALSE			The company GENERALE DE PRESTATIONS CENTRE SUD OUEST, which operates in the Crop services industry. It also operates in the Soil preparation services industries. It is based in Loupiac De La Reole, France.		33 Lieu Dit Bois Majou Nord 	33190	Crop services, Soil preparation services	NA	NA	2	44.5763239	-0.026459486427319108
