country	group	sector	subsector	id	company_name	company_city	company_headcount	supplier_of	site_status	verified_by_europages	year_established	main_activity	information	websites	address	postcode	keywords	products	products_language	chunk	lat	long
germany	agriculture_livestock	animals_livestock	NA	MOM-TERRIERDE_00000003993389-262305001	MOM TERRIER.DE	Handewitt	1 - 10	dog food | dog food | cat crunchies		FALSE		Agent/ Representative	The company MOM TERRIER.DE, is a Agent/ Representative, which operates in the Dog food industry. It also operates in the cat crunchies industries. It is based in Handewitt, Germany.	http://energihuset.de	Gewerbepark 2-4 	24983	Dog food, dog food, cat crunchies	NA	NA	21	54.77072386130843	9.326964714991824
germany	agriculture_livestock	animals_livestock	NA	TIERNAHRUNG-DEUERER-GMBH_DEU081222-00101	TIERNAHRUNG DEUERER GMBH	Bretten	201 - 500	dog food | rugs and carpeting | pet foods	Registered office	FALSE	1962	Manufacturer/ Producer	The company TIERNAHRUNG DEUERER GMBH, is a Manufacturer/ Producer, founded in 1962, which operates in the Rugs and carpeting industry. It also operates in the Pet foods, and Dog food industries. It is based in Bretten, Germany.	http://www.edel-cat.de	Rinklinger Str. 13-17 	75015	Rugs and carpeting, Pet foods, Dog food	NA	NA	21	49.04144008004868	8.703818905456435
germany	agriculture_livestock	animals_livestock	NA	CLICKERDE-KLAUS-BLEZIN_00000005065806-001	CLICKER.DE KLAUS BLEZIN	Muhr		dogs and cats - articles for | shellfish and crustaceans | fish | pet supplies		FALSE		Wholesaler	The company CLICKER.DE KLAUS BLEZIN, is a Wholesaler, which operates in the Shellfish and crustaceans industry. It also operates in the Fish, Pet supplies, and Dogs and cats - articles for industries. It is based in Muhr, Germany.	http://www.ferdility.de	Storchenweg 4 	91735	Shellfish and crustaceans, Fish, Pet supplies, Dogs and cats - articles for	NA	NA	21	49.15376146304347	10.715295739065038
germany	agriculture_livestock	animals_livestock	NA	BEELITZER-FRISCHEI-E-G_DEU062997-00101	BEELITZER FRISCHEI E. G.	Beelitz	11 - 50	calves and cattle, slaughter | cattle | eggs	Registered office	FALSE	1990	Manufacturer/ Producer	The company BEELITZER FRISCHEI E. G., is a Manufacturer/ Producer, founded in 1990, which operates in the Cattle industry. It also operates in the Eggs, and Calves and cattle, slaughter industries. It is based in Beelitz, Germany.	http://www.beelitzer-frischei.de	Amselweg 9 	14547	Cattle, Eggs, Calves and cattle, slaughter	NA	NA	21	52.25566074129296	12.929462039822454
germany	agriculture_livestock	animals_livestock	NA	TH-SCHENK-VORM-FA-SCHWARZ_DEU487001-00101	TH. SCHENK VORM. F.A. SCHWARZ	Würzburg	11 - 50	aquaculture and pisciculture | fish | building materials, manufacture - machinery and equipment		FALSE			The company TH. SCHENK VORM. F.A. SCHWARZ, which operates in the Fish industry. It also operates in the Building materials, manufacture - machinery and equipment, and Aquaculture and pisciculture industries. It is based in Würzburg, Germany.	https://www.wachs-schenk.de/	Reuerergasse 1/ 	97070	Fish, Building materials, manufacture - machinery and equipment, Aquaculture and pisciculture	NA	NA	21	49.794394161213965	9.932093050999407
germany	agriculture_livestock	animals_livestock	NA	MAKANA-PRODUKTION-UND-VERTRIEB-GMBH_00000004823892-001	MAKANA PRODUKTION UND VERTRIEB GMBH	Offenbach		dog food | cereals and grains | feeds for animal farming		FALSE		Service Provider	The company MAKANA PRODUKTION UND VERTRIEB GMBH, is a Service Provider, which operates in the Cereals and grains industry. It also operates in the Feeds for animal farming, and Dog food industries. It is based in Offenbach, Germany.	http://www.makana.de	In Den Birkenwiesen 15 	76877	Cereals and grains, Feeds for animal farming, Dog food	NA	NA	21	49.191716150000005	8.196705891209788
germany	agriculture_livestock	animals_livestock	NA	BY-ARAMIS-DOGCAT_00000005102691-001	BY ARAMIS DOG&CAT	Apolda		dogs and cats - articles for | shellfish and crustaceans | fish		FALSE		Wholesaler	The company BY ARAMIS DOG&CAT, is a Wholesaler, which operates in the Shellfish and crustaceans industry. It also operates in the Fish, and Dogs and cats - articles for industries. It is based in Apolda, Germany.	http://www.by-aramis-dog.com	Müllerstrasse 1 	99510	Shellfish and crustaceans, Fish, Dogs and cats - articles for	NA	NA	21	51.02073724602073	11.497192686456545
germany	agriculture_livestock	animals_livestock	NA	"NANDOO-PREMIUM-HUNDEFUTTER-GMBH_00000005460909-828801001"	"NANDOO PREMIUM HUNDEFUTTER GMBH"	Xanten		dog food		FALSE						NA		NA	NA	21	NA	NA
germany	agriculture_livestock	animals_livestock	NA	RANYMAL-PREMIUM-FEEDS_00000005395894-719778001	RANYMAL PREMIUM FEEDS	Bad Sachsa	1 - 10	fish meal for livestock and poultry | fish meal for zootechnical use	Registered office	FALSE		Wholesaler	The company RANYMAL PREMIUM FEEDS, is a Wholesaler, which operates in the Fish meal for livestock and poultry industry. It also operates in the fish meal for zootechnical use industries. It is based in Bad Sachsa, Germany.	https://www.ranymal.de	Brandstr.28 	37441	Fish meal for livestock and poultry, fish meal for zootechnical use	NA	NA	21	51.5882449	10.54247131659374
germany	agriculture_livestock	animals_livestock	NA	MANUFAKTUR-KRATZPFOTE_00000003558411-62832001	MANUFAKTUR KRATZPFOTE	Helmbrechts	1 - 10	pet birds | scratching posts | cats		FALSE		Manufacturer/ Producer	The company MANUFAKTUR KRATZPFOTE, is a Manufacturer/ Producer, which operates in the Pet birds industry. It also operates in the scratching posts, and cats industries. It is based in Helmbrechts, Germany.	http://www.kratzpfote-kratzbaeume.de	Müller Thurgau Weg 4 	95233	Pet birds, scratching posts, cats	NA	NA	21	50.24000495	11.686366863215081
