country	group	sector	subsector	id	company_name	company_city	company_headcount	supplier_of	site_status	verified_by_europages	year_established	main_activity	information	websites	address	postcode	keywords	products	products_language	chunk	lat	long
france	agriculture_livestock	agriculture_import_export	NA	MAPS_FRA723479-00101	MAPS	Nice	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company MAPS, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Nice, France.		21 Rue De Lepante 	06000	Import-export - food and agriculture, Beverages - import-export	NA	NA	9	43.7013988309051	7.265186151711138
france	agriculture_livestock	agriculture_import_export	NA	AGCE-COMMERC-MARKETING-DEVELOP_FRA608446-00101	AGCE COMMERC MARKETING DEVELOP	Carquefou	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company AGCE COMMERC MARKETING DEVELOP, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Carquefou, France.		5 Rue D'Antiope 	44470	Import-export - food and agriculture, Beverages - import-export	NA	NA	9	47.292406225451586	-1.474953182525393
france	agriculture_livestock	agriculture_import_export	NA	TREILLES-ET-GOURMETS_FRA615413-00101	TREILLES ET GOURMETS	Lyon		beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company TREILLES ET GOURMETS, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Lyon, France.		58 Cours Eugenie 	69003	Import-export - food and agriculture, Beverages - import-export	NA	NA	9	45.75582765729166	4.860161640085048
france	agriculture_livestock	agriculture_import_export	NA	DOMAINES-ET-VIGNOBLES-ASSOCIES_FRA379134-00101	DOMAINES ET VIGNOBLES ASSOCIES	Sancerre		import-export - food and agriculture		FALSE	2002		The company DOMAINES ET VIGNOBLES ASSOCIES, founded in 2002, which operates in the Import-export - food and agriculture industry. It is based in Sancerre, France.		Route De Menetreol 	18300	Import-export - food and agriculture	NA	NA	9	47.288340616943515	2.8696269841448654
france	agriculture_livestock	agriculture_import_export	NA	WEIGEL-LITZLER_FRA706399-00101	WEIGEL LITZLER	Oberdorf	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company WEIGEL LITZLER, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Oberdorf, France.		24 Rue Principale 	68960	Import-export - food and agriculture, Beverages - import-export	NA	NA	9	47.568525449999996	7.312753700143067
france	agriculture_livestock	agriculture_import_export	NA	PARIMA_FRA617647-00101	PARIMA	Beynes		beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company PARIMA, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Beynes, France.		7 Rue De La Tuilerie 	78650	Import-export - food and agriculture, Beverages - import-export	NA	NA	9	48.8519315	1.8640912649206332
france	agriculture_livestock	agriculture_import_export	NA	HSM-SARL_FRA619525-00101	HSM SARL	Cayenne	11 - 50	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company HSM SARL, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Cayenne, France.		8 Lotissement Collery I 	97300	Import-export - food and agriculture, Beverages - import-export	NA	NA	9	4.93613095530114	-52.32114924007127
france	agriculture_livestock	agriculture_import_export	NA	UNION-DES-VIGNERONS-DE-LILE-DE-BEAUTE-SICA_FRA618854-00101	UNION DES VIGNERONS DE L'ILE DE BEAUTE SICA	Aleria	51 - 100	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company UNION DES VIGNERONS DE L'ILE DE BEAUTE SICA, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Aleria, France.		Lieu Dit Padulone 	20270	Import-export - food and agriculture, Beverages - import-export	NA	NA	9	42.187477047222224	9.443785936001047
france	agriculture_livestock	agriculture_import_export	NA	ETS-CLAUDE-MAILLET-ET-CIE_FRA626512-00101	ETS CLAUDE MAILLET ET CIE	Signes	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company ETS CLAUDE MAILLET ET CIE, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Signes, France.		Parc D Activites 	83870	Import-export - food and agriculture, Beverages - import-export	NA	NA	9	43.27638949999999	5.847744716383123
france	agriculture_livestock	agriculture_import_export	NA	BRASSERIE-LA-FRANCILIENNE_FRA631521-00101	BRASSERIE LA FRANCILIENNE	Villetaneuse	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company BRASSERIE LA FRANCILIENNE, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Villetaneuse, France.		14 Rue Maurice Paillard 	93430	Import-export - food and agriculture, Beverages - import-export	NA	NA	9	48.96523606509432	2.3452944472388744
